sondering_id,index,pkey_sondering,sondeernummer,x,y,start_sondering_mtaw,diepte_sondering_tot,diepte,diepte_mtaw,qc,fs,qtn,rf,fr,icn,sbt,ksbt,lithostrat_id,dist
4614,313827,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.44,38.28,11.14,0.308,69.71859776279678,2.764811490125673,2.8521216212230605,2.334991,5.0,7.139e-07,Lede,0.0
4614,313828,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.45,38.269999999999996,10.981,0.308,68.51637676298253,2.804844731809489,2.8947985214880947,2.344881,5.0,6.661e-07,Lede,0.0
4614,313829,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.46,38.26,10.795,0.308,67.1211975048366,2.8531727651690595,2.9463623788001616,2.356607,5.0,6.136e-07,Lede,0.0
4614,313830,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.47,38.25,10.589,0.308,65.58550835930279,2.908678817640948,3.0056512684346273,2.369818,5.0,5.594e-07,Lede,0.0
4614,313831,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.48,38.239999999999995,10.383,0.307,64.06916706275672,2.956756236155254,3.0574162242853973,2.38222,5.0,5.129e-07,Lede,0.0
4614,313832,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.49,38.230000000000004,10.177,0.304,62.585126439165954,2.9871278372801418,3.091016151439068,2.392728,5.0,4.765e-07,Lede,0.0
4614,313833,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.5,38.22,9.963,0.287,61.242058751416444,2.880658436213992,2.9831355763936753,2.388355,5.0,4.914e-07,Lede,0.0
4614,313834,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.51,38.209999999999994,9.753,0.279,59.80551477052024,2.860658258997232,2.9647589387956828,2.393732,5.0,4.732e-07,Lede,0.0
4614,313835,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.52,38.2,9.551,0.271,58.42990535135772,2.8373992252120197,2.942983432114994,2.398636,5.0,4.572e-07,Lede,0.0
4614,313836,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.53,38.19,9.329,0.263,56.913989046869666,2.819166041376353,2.9267293990819865,2.40507,5.0,4.371e-07,Lede,0.0
4614,313837,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.54,38.18,9.131,0.256,55.559538290028485,2.8036359653926186,2.9130839493461433,2.411121,5.0,4.19e-07,Lede,0.0
4614,313838,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.55,38.17,8.925,0.25,54.13684194631101,2.8011204481792715,2.913163618644797,2.419203,5.0,3.959e-07,Lede,0.0
4614,313839,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.56,38.16,8.747,0.244,52.91750250828393,2.7895278381159256,2.9035403468556487,2.425317,5.0,3.793e-07,Lede,0.0
4614,313840,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.57,38.15,8.43,0.239,50.69740441378006,2.8351126927639383,2.9556043225694566,2.444087,5.0,3.326e-07,Lede,0.0
4614,313841,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.58,38.14,8.303,0.233,49.84759895552339,2.8062146212212453,2.9274549624844446,2.446527,5.0,3.27e-07,Lede,0.0
4614,313842,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.59,38.129999999999995,8.2,0.23,49.127889994193445,2.804878048780488,2.927724238306951,2.451134,5.0,3.166e-07,Lede,0.0
4614,313843,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.6,38.12,8.125,0.227,48.607952673341636,2.793846153846154,2.9174638108306903,2.453442,5.0,3.116e-07,Lede,0.0
4614,313844,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.61,38.11,8.124,0.224,48.61325817379218,2.7572624322993597,2.8793512292414083,2.449489,5.0,3.203e-07,Lede,0.0
4614,313845,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.62,38.099999999999994,8.124,0.218,48.66964848602632,2.6834071885770556,2.8022978113478545,2.44106,5.0,3.398e-07,Lede,0.0
4614,313846,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.63,38.09,8.124,0.216,48.66925192908306,2.6587887740029537,2.7766600232917398,2.438337,5.0,3.463e-07,Lede,0.0
